error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1525,100223,100224,0x0030EFE0,0x0030F000,28431,28434,3,2,0x5C712CC2,0xB8E25984,0xE3896610,3,2,True
1526,100224,100225,0x0030F000,0x0030F020,28434,29571,1137,1136,0xE3896610,0xC712CC21,0x0B5F192D,>64,unknown,False
1527,100351,100352,0x0030FFE0,0x00310000,29697,29700,3,2,0xEA99FBDB,0xD533F7B6,0x54CFDEDA,3,2,True
1528,100352,100353,0x00310000,0x00310020,29700,30513,813,812,0x54CFDEDA,0xA99FBDB4,0xEDAC820F,>64,unknown,False
1529,100479,100480,0x00310FE0,0x00311000,30639,30642,3,2,0xE44C9F6C,0xC8993ED9,0x2264FB66,3,2,True
1530,100480,100481,0x00311000,0x00311020,30642,32083,1441,1440,0x2264FB66,0x44C9F6CD,0x9E574AA9,>64,unknown,False
1531,100607,100608,0x00311FE0,0x00312000,32209,32212,3,2,0x476133DC,0x8EC267B8,0x3B099EE2,3,2,True
1532,100608,100609,0x00312000,0x00312020,32212,33649,1437,1436,0x3B099EE2,0x76133DC4,0x9F4C7536,>64,unknown,False
1533,100735,100736,0x00312FE0,0x00313000,33775,33778,3,2,0xB8A4FCD6,0x7149F9AC,0xC527E6B3,3,2,True
1534,100736,100737,0x00313000,0x00313020,33778,34935,1157,1156,0xC527E6B3,0x8A4FCD67,0x17539F6B,>64,unknown,False
1535,100863,100864,0x00313FE0,0x00314000,35061,35064,3,2,0x975A2D58,0x2EB45AB1,0xBAD16AC6,3,2,True
