error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
9359,2360504,2360505,0x04809700,0x04809720,46978,46981,3,2,0x628DF128,0xC51BE251,0x146F8946,3,2,False
9360,2360517,2360518,0x048098A0,0x048098C0,46993,46996,3,2,0xF89461A4,0xF128C349,0xC4A30D26,3,2,False
9361,2360529,2360530,0x04809A20,0x04809A40,47007,47010,3,2,0x18693245,0x30D2648B,0xC349922E,3,2,False
9362,2360543,2360544,0x04809BE0,0x04809C00,47023,47026,3,2,0x3245C53F,0x648B8A7F,0x922E29FC,3,2,False
9363,2360555,2360556,0x04809D60,0x04809D80,47037,47040,3,2,0x714FE518,0xE29FCA31,0x8A7F28C7,3,2,False
9364,2360564,2360565,0x04809E80,0x04809EA0,47048,47051,3,2,0x7F28C753,0xFE518EA7,0xF9463A9F,3,2,False
9365,2360575,2360576,0x04809FE0,0x0480A000,47061,47064,3,2,0x18EA7DC5,0x31D4FB8A,0xC753EE2B,3,2,True
9366,2360703,2360704,0x0480AFE0,0x0480B000,47191,47193,2,1,0x6672C6F3,0xCCE58DE6,0x99CB1BCD,2,1,True
9367,2360791,2360792,0x0480BAE0,0x0480BB00,47280,47283,3,2,0xDBDF8B25,0xB7BF164A,0xDEFC5929,3,2,False
9368,2360804,2360805,0x0480BC80,0x0480BCA0,47295,47298,3,2,0xC5929117,0x8B25222E,0x2C9488B9,3,2,False
9369,2360817,2360818,0x0480BE20,0x0480BE40,47310,47313,3,2,0x488B921C,0x91172439,0x445C90E5,3,2,False
9370,2360828,2360829,0x0480BF80,0x0480BFA0,47323,47326,3,2,0x7243961B,0xE4872C36,0x921CB0D8,3,2,False
9371,2360831,2360832,0x0480BFE0,0x0480C000,47328,47330,2,1,0x4872C362,0x90E586C4,0x21CB0D89,2,1,True
9372,2360842,2360843,0x0480C140,0x0480C160,47340,47343,3,2,0x2C36279B,0x586C4F37,0x61B13CDD,3,2,False
9373,2360856,2360857,0x0480C300,0x0480C320,47356,47359,3,2,0x279BA0A0,0x4F374140,0x3CDD0502,3,2,False
9374,2360868,2360869,0x0480C480,0x0480C4A0,47370,47373,3,2,0xE82812F1,0xD05025E2,0x4140978B,3,2,False
9375,2360881,2360882,0x0480C620,0x0480C640,47385,47388,3,2,0x0978B863,0x12F170C7,0x4BC5C31D,3,2,False
9376,2360894,2360895,0x0480C7C0,0x0480C7E0,47400,47403,3,2,0x5C31D1F6,0xB863A3EC,0xE18E8FB2,3,2,False
9377,2360907,2360908,0x0480C960,0x0480C980,47415,47418,3,2,0xE8FB236D,0xD1F646DB,0x47D91B6C,3,2,False
9378,2360920,2360921,0x0480CB00,0x0480CB20,47430,47433,3,2,0x91B6CDD7,0x236D9BAF,0x8DB66EBF,3,2,False
9379,2360933,2360934,0x0480CCA0,0x0480CCC0,47445,47448,3,2,0x66EBF1BF,0xCDD7E37F,0x375F8DFF,3,2,False
9380,2360944,2360945,0x0480CE00,0x0480CE20,47458,47461,3,2,0x7E37FE4C,0xFC6FFC99,0xF1BFF265,3,2,False
9381,2360955,2360956,0x0480CF60,0x0480CF80,47471,47474,3,2,0xFFC994A2,0xFF932944,0xFE4CA511,3,2,False
9382,2360959,2360960,0x0480CFE0,0x0480D000,47477,47479,2,1,0xF265288E,0xE4CA511C,0xC994A238,2,1,True
9383,2360967,2360968,0x0480D0E0,0x0480D100,47486,47489,3,2,0xCA511C7D,0x94A238FB,0x5288E3EF,3,2,False
9384,2360979,2360980,0x0480D260,0x0480D280,47500,47503,3,2,0x471F7D3A,0x8E3EFA74,0x38FBE9D1,3,2,False
9385,2360993,2360994,0x0480D420,0x0480D440,47516,47519,3,2,0x7D3A276B,0xFA744ED6,0xE9D13B5A,3,2,False
9386,2361005,2361006,0x0480D5A0,0x0480D5C0,47530,47533,3,2,0x89DAD75E,0x13B5AEBC,0x4ED6BAF1,3,2,False
9387,2361018,2361019,0x0480D740,0x0480D760,47545,47548,3,2,0x6BAF113D,0xD75E227A,0x5D7889E9,3,2,False
9388,2361031,2361032,0x0480D8E0,0x0480D900,47560,47563,3,2,0x889E94BD,0x113D297A,0x44F4A5E9,3,2,False
9389,2361044,2361045,0x0480DA80,0x0480DAA0,47575,47578,3,2,0x4A5E90F2,0x94BD21E5,0x52F48797,3,2,False
9390,2361057,2361058,0x0480DC20,0x0480DC40,47590,47593,3,2,0x48797C30,0x90F2F860,0x43CBE183,3,2,False
9391,2361070,2361071,0x0480DDC0,0x0480DDE0,47605,47608,3,2,0xBE183823,0x7C307046,0xF0C1C118,3,2,False
9392,2361086,2361087,0x0480DFC0,0x0480DFE0,47623,47626,3,2,0xE08C0E17,0xC1181C2E,0x046070BB,3,2,False
9393,2361087,2361088,0x0480DFE0,0x0480E000,47626,47628,2,1,0x046070BB,0x08C0E176,0x1181C2EC,2,1,True
9394,2361098,2361099,0x0480E140,0x0480E160,47638,47641,3,2,0x070BB36A,0x0E1766D5,0x385D9B55,3,2,False
9395,2361111,2361112,0x0480E2E0,0x0480E300,47653,47656,3,2,0xD9B55BF9,0xB36AB7F3,0xCDAADFCF,3,2,False
9396,2361123,2361124,0x0480E460,0x0480E480,47667,47670,3,2,0x56FE7C0C,0xADFCF819,0xB7F3E064,3,2,False
9397,2361137,2361138,0x0480E620,0x0480E640,47683,47686,3,2,0x7C0C83F8,0xF81907F0,0xE0641FC1,3,2,False
9398,2361150,2361151,0x0480E7C0,0x0480E7E0,47698,47701,3,2,0x41FC1BB9,0x83F83772,0x0FE0DDC8,3,2,False
9399,2361163,2361164,0x0480E960,0x0480E980,47713,47716,3,2,0x0DDC8F92,0x1BB91F24,0x6EE47C93,3,2,False
9400,2361177,2361178,0x0480EB20,0x0480EB40,47729,47732,3,2,0x8F926DDD,0x1F24DBBB,0x7C936EEC,3,2,False
